	theta / °	Eint_HF/ au	Eint_MP2 / au
0	0.0	-9.770246128937288e-05	-0.0003467148408162757
1	18.0	-8.782452323430334e-05	-0.0003408061636491766
2	36.0	-5.925652988025831e-05	-0.0003264926992869732
3	54.0	-1.0661112696652708e-05	-0.0003091302115763028
4	72.0	7.193980366082542e-05	-0.0002883334517491676
5	90.0	0.000240044168208442	-0.00024122010245264391
6	108.0	0.0006607407838146173	-5.106377159336262e-05
7	126.0	0.0017203885979597544	0.0005976604834359023
8	144.0	0.003804870098747415	0.002041000930944392
9	162.0	0.006359921554690118	0.0038697223338886033
10	180.0	0.007576521671126102	0.004739647933320157
